設問1	設問2	設問3	設問4	設問5	設問6	設問7	設問8	設問9	設問10	設問11	設問12	設問13	設問14	設問15	設問16（チェック）	会員ID
50以上	７	７	60	X (旧Twitter)@Instagram@Tik Tok	風景	はい	理想のモデルの影響	いいえ	倉木麻衣	キレイだから	いいえ	いいえ	なし	なし	2	1233839298
10未満	１	１	240	X (旧Twitter)@Instagram@Tik Tok	モデル (人)	はい	健康状態の改善（病気予防・治療）	いいえ	モデル	好きな服が着たい	いいえ	はい	食事の調整	食事と運動	2	1232539690
26	５	５	0	該当なし	動物	いいえ	いいえと回答	いいえ	特に無い	特に無い	いいえ	いいえ	特に無い	特に無い	2	1234815218
19	５	２	10	該当なし	音楽	はい	健康状態の改善（病気予防・治療）	いいえ	スポーツインストラクター	産後数年経ち洋服のウエストがきつくなり鏡をみてあまりのひどいスタイルにがっくりきたこと。	はい	はい	運動、お酒を控える。	お酒を飲むときは数日空けること。	2	1231443620
12	３	３	5912	該当なし	音楽	はい	健康状態の改善（病気予防・治療）	いいえ	グラビアアイドル	丸みがある	いいえ	いいえ	運動	食事制限	2	1235502006
18	１	３	25	X (旧Twitter)@Instagram@Facebook@Tik Tok	音楽	いいえ	健康状態の改善（病気予防・治療）	いいえ	女優	20代からずっと	いいえ	はい	運動	野菜中心、果物を摂る。	2	1233897411
23	３	１	300	該当なし	音楽	いいえ	いいえと回答	いいえ	特にない	分からない	いいえ	はい	ウォーキング	規則正しい生活と適度な運動	2	1237453875
17	１	１	122	X (旧Twitter)@Instagram	動物	いいえ	いいえと回答	いいえ	女優	高校生の時に雑誌を見ていて、こういう体型になりたいと思ったからです。	いいえ	いいえ	食べ過ぎないことと、歩くこと。	バランスの良い食事をして、なるべく歩く。食べ過ぎないことと、あまり我慢をしないこと。	2	1234979671
20	３	２	32	X (旧Twitter)@Instagram@Tik Tok	動物	はい	健康状態の改善（病気予防・治療）	いいえ	スポーツ選手	目標となる人物の体系を見つけた時	はい	はい	健康的な食生活と運動	バランスの良い食事を心がける	2	1235048034
19	４	２	56	Instagram@Facebook	該当なし	はい	健康状態の改善（病気予防・治療）	はい	女性下着のモデル	20歳前半##下着モデルの人がきれいだった##痩せすぎでもなく、太りすぎでもなく。ちょうどよく美しいのに憧れたヵら	いいえ	はい	なし。##理想の体型と自分の体型が違うのは、骨格からして違うので、仕方がない。##でも、理想とは違っても自分の体型に愛着を持てるようになれば、それで幸せ。	ストレスをためないこと	2	1233645228
23	４	２	156	Facebook	テレビ番組	はい	健康状態の改善（病気予防・治療）	いいえ	モデル	３０代に出産で太ったのがきっかけ	いいえ	はい	食事の制限、適度な運動	適度な運動と筋トレ	2	1236295881
18	４	２	68	X (旧Twitter)@Instagram	動物	はい	その他	いいえ	着物系インフルエンサー	昔は何をしても太らなかったが、35歳位からふっくらしてきた気がするから。	いいえ	はい	筋肉を付ける	特にない	2	1238107213
19	４	１	0	該当なし	該当なし	いいえ	いいえと回答	いいえ	俳優	35になったあたりから徐々に太り始めて、自分より年上でも若い頃のスタイルをキープしている人に目がいくようになった。	いいえ	はい	食事の内容の見直し、定期的な運動	何もできていない。	2	1231299093
21	４	３	60	X (旧Twitter)@Instagram	該当なし	いいえ	いいえと回答	いいえ	アイドル	ライブを観に行って細いのに筋肉もあってもっちりしていていいなと思ったので	いいえ	はい	運動	特になし	2	1234092663
17	４	３	240	Instagram@Facebook	モデル (人)	はい	理想のモデルの影響	いいえ	ヨガのインストラクターかスポーツトレーナー	20代。スタイルがすごく良かったから。痩せ方が綺麗だったから。	はい	はい	歩くこと	ベジファースト。歩くこと。	2	1237473800
16	１より痩せている	１	45	X (旧Twitter)@Tik Tok	動物	はい	理想のモデルの影響	いいえ	モデル	18歳 テレビで観て	いいえ	はい	わからない	食べ過ぎない	2	1230061334
26	５	２	132	X (旧Twitter)	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	ない	太りすぎでみっともないから	いいえ	はい	運動と食事	食べ過ぎない	2	1229654991
22	４	２	0	該当なし	該当なし	はい	その他	いいえ	服の通販サイトのモデルさん	１年前くらい##ネット通販で服を買うようになり、このモデルさんには似合うけど自分には似合わないなあと思うことがよくあった	いいえ	はい	食事制限だけではなく運動もしながらのダイエット	間食はカロリー控えめの物を選ぶようにしている(以前は菓子パンなども食べていたので太っていた)	2	1226239803
23	５	３	32	X (旧Twitter)	動物	はい	健康状態の改善（病気予防・治療）	いいえ	とくにない	10代の頃、クラスのかわいい女の子を見て	いいえ	はい	ストイックに生きる	無理せず、運動をする	2	1237226634
18	２	１	200	X (旧Twitter)@Instagram	音楽	はい	身の周りの環境	いいえ	女優	健康のため	はい	はい	運動	こまめに自分の体型の変化を知ること	2	1232034102
17	２	１	73	X (旧Twitter)@Instagram@Tik Tok	モデル (人)	いいえ	いいえと回答	いいえ	女優	10代##細い同級生を見て	はい	はい	運動	免疫を高める	2	1238237715
18	２	１	360	該当なし	アニメ、漫画	いいえ	いいえと回答	いいえ	俳優	学生の頃##憧れの存在だったので	いいえ	はい	運動して、筋肉をつけること	食事は気をつけている。沢山の種類の野菜や海藻などをとるようにしている	2	1231531137
22	５	３	135	X (旧Twitter)@Instagram	モデル (人)	はい	理想のモデルの影響	いいえ	会社員	好みの服が体系的に似合わなくなったと思った時	はい	はい	ストレッチと運動	無理なく継続できるストレッチ	2	1232704451
10未満	４	３	120	X (旧Twitter)@Instagram@Facebook@Tik Tok	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	モデル	特になし	いいえ	はい	食事制限	特にない	2	1233705337
21	３	１	10	X (旧Twitter)@Instagram	動物	はい	理想のモデルの影響	いいえ	引き締まっていてどんな服でもかっこよく決まる人	思春期のころに素敵なモデルなどを見てそう思った	はい	はい	筋肉トレーニングと有酸素運動	バランスよく食事をとって定期的に運動をすること	2	1233556831
17	１	１	0	該当なし	音楽	いいえ	いいえと回答	いいえ	モデル	ない	いいえ	はい	ない	ない	2	1233063755
32	８	８	30	X (旧Twitter)@Tik Tok	アニメ、漫画	はい	健康状態の改善（病気予防・治療）	いいえ	しばざきこう	高血圧	いいえ	はい	絶食	運動	2	1237483430
31	６	３	442分	X (旧Twitter)@Tik Tok	アニメ、漫画	はい	健康状態の改善（病気予防・治療）	いいえ	グラビアアイドル	歳をとるにつれて太ったから	いいえ	はい	食事改善と運動	ウォーキング	2	1236028075
25	５	３	480	該当なし	テレビ番組	いいえ	いいえと回答	いいえ	一般的な会社員	3年前に比べて体重が10kg増えたので、元に戻したいと最近思っている	いいえ	はい	適度な有酸素運動と、ストレッチ、バランスの良い食事	ストレッチと軽い筋トレを毎日する	2	1238602631
20	４	１より痩せている	170	X (旧Twitter)	動物	はい	健康状態の改善（病気予防・治療）	いいえ	理想的な体型は以前の自分なので職業は特にない。	過去の自分からものすごく太ったから。	はい	はい	以前痩せていたひとは、過去の自分にもどることを意識したらいいと思う。	毎日2万歩以上歩くこと。規則正しい生活。そして糖質制限。	2	1236084094
19	２	１より痩せている	3	Instagram	動物	いいえ	健康状態の改善（病気予防・治療）	いいえ	安室奈美恵	小学生	いいえ	はい	わからない	納豆食べる	2	1234647172
18	２	１	337	Instagram@Facebook@Tik Tok	動物	はい	健康状態の改善（病気予防・治療）	いいえ	女優	20代前半、テレビドラマを見て美しいなと思ったから	はい	はい	フィットネス、ジムによる筋力アップ	ゆる糖質オフ、たんぱく質の摂取、寝る前にストレッチ、湯船につかる	2	1236289006
20	３	２	10	該当なし	動物	はい	健康状態の改善（病気予防・治療）	いいえ	スポーツ選手	産後の体型が元に戻りにくかった	いいえ	はい	定期的な運動	定期的な運動	2	1229646674
18	３	１	33	X (旧Twitter)	音楽	はい	健康状態の改善（病気予防・治療）	いいえ	ヨガインストラクター	20代ごろ、健康を害してから	はい	はい	適度な運動と健康的な食事	野菜を多く食べる	2	1236230049
18	１	１	10	Instagram	該当なし	はい	身の周りの環境	いいえ	主婦	周りに太ったと言われたから	いいえ	はい	食べ過ぎない	ない	2	1228314752
15	４	１	60	Instagram	該当なし	はい	理想のモデルの影響	いいえ	女優	社会人になってからテレビを見て	はい	はい	運動	特にない	2	1237467270
18	１	２	60	該当なし	該当なし	はい	身の周りの環境	いいえ	女優	高校生の時恋人が欲しくて	いいえ	はい	部分的に鍛えたり体を締める事	睡眠時間をとる	2	1235931607
18	５	３	45	X (旧Twitter)@Instagram	音楽	はい	健康状態の改善（病気予防・治療）	いいえ	インストラクター	脂肪が増えて締まりのないボディラインになってきた	いいえ	はい	ストレッチや筋トレ	歩く	2	1235258526
10未満	１	１	68	X (旧Twitter)@Instagram@Tik Tok	モデル (人)	はい	身の周りの環境	いいえ	モデル	ちょっと体重が増えたとき	はい	はい	運動	食事	2	1237879196
23	４	３	130	該当なし	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	俳優	40歳前後、体型の変化	はい	はい	運動	栄養バランス、運動	2	1235742837
25	４	２	35	該当なし	動物	はい	健康状態の改善（病気予防・治療）	いいえ	一般の社会人	太っていると動きにくいから標準体形が理想だと思う。	いいえ	はい	運動と食事	定期的な運動	2	1233898505
16	１より痩せている	１	480	X (旧Twitter)@Instagram@Facebook@Tik Tok@該当なし	動物	はい	理想のモデルの影響	いいえ	モデル	23	はい	はい	ちょっとしたウォーキングやストレッチを毎日する。	朝食は抜かない	2	1232455023
20	２	４	240	X (旧Twitter)@Facebook	動物	はい	その他	いいえ	女優	大学時代##〜彼に肥ってきたと言われた	はい	はい	無理をし過ぎない##（ありきたりだけど、食事を抜くばかりが##全てじゃない…後悔する）	バランスの良い食事、睡眠##（BMI20は嬉しくも何ともない）	2	1231560083
32	６	４	250	X (旧Twitter)@Instagram	テレビ番組	はい	身の周りの環境	いいえ	接客業	しゅっさん	いいえ	はい	サウナ	睡眠	2	1237468487
20	３	１	180	Instagram	モデル (人)	はい	健康状態の改善（病気予防・治療）	いいえ	ヨガのインストラクター	加齢と共に、体重は若い頃と変わらないのに、太ったように見えてきて、肉質もハリが少なくなりとても年老いて見えてきた時期から。##体力も落ち始め、姿勢も悪くなってきたため、ヨガを始めるようになった。	はい	はい	もっと負荷の強い運動をする	間食をとらないようにしている。	2	1237205988
18	１より痩せている	２	0	Instagram	該当なし	いいえ	いいえと回答	いいえ	モデル	特になし	いいえ	はい	栄養バランスの取れた食事	特になし	2	1230989431
20	４	２	182	該当なし	音楽	はい	身の周りの環境	いいえ	ヨガインストラクター	30代半ば、洋服が似合う体型になりたいと思いダイエットを始めた	はい	はい	食事制限	何もしていない	2	1237435516
26	５	３	390	X (旧Twitter)@Instagram@Facebook@Tik Tok	動物	はい	スポーツ・パフォーマンス向上	はい	バレーボール選手	16歳##服の着こなしを見て	はい	はい	毎日鏡を見る	適度な運動	2	1236668400
18	２	２	0	該当なし	該当なし	はい	スポーツ・パフォーマンス向上	いいえ	中距離走者	覚えていない	いいえ	いいえ	規則正しい生活とバランスの良い食事	良く寝る、バランスの良い食事をする、適度な運動、ストレス解消	2	1231849165
18	１	１	60	X (旧Twitter)@Instagram@Facebook	モデル (人)	いいえ	いいえと回答	いいえ	モデル	覚えていない。	いいえ	いいえ	運動、睡眠、食事。	特にない。	2	1233083488
19	３	２	4	該当なし	音楽	いいえ	いいえと回答	いいえ	相川七瀬 歌手	40代で、年齢はあまり変わらないがスタイルがいいから	いいえ	はい	運動	遅い時間に食べない	2	1231584953
19	２	３	8	Tik Tok	音楽	いいえ	いいえと回答	いいえ	特に理想とする人はいない	理想とする体型について考えたことがない	いいえ	いいえ	バランスのいい食事と適度な運動	特にない	2	1236964097
18	１より痩せている	１より痩せている	52	Instagram@Tik Tok	動物	はい	健康状態の改善（病気予防・治療）	いいえ	スポーツ選手	部活を始めてから	はい	はい	筋トレ　運動	食事	2	1237800822
28	５	４	60	X (旧Twitter)@Instagram@Facebook@Tik Tok@BeReal.	動物	はい	健康状態の改善（病気予防・治療）	いいえ	ないです。	太りすぎた為	いいえ	はい	わかりません	運動をする	2	1236667926
25	５	２	332	X (旧Twitter)	アニメ、漫画	はい	健康状態の改善（病気予防・治療）	いいえ	バレリーナ	高校生の時##足が太いといわれたから	いいえ	はい	ウォーキング##食事管理##筋トレ	夜遅い時間に食べない##野菜から食べる	2	1237543953
18	２	２	480	X (旧Twitter)@Instagram@Facebook	モデル (人)	はい	健康状態の改善（病気予防・治療）	いいえ	パーソナルトレーナー	パーソナルトレーナーになったから	はい	はい	体脂肪を増やす	運動をする　食べすぎない　食べる時間を考える　食べる順番を気にする	2	1238634109
28	３	１	0	X (旧Twitter)	アニメ、漫画	はい	健康状態の改善（病気予防・治療）	いいえ	女優	病院で高血圧の診断を受けた時	いいえ	はい	食事の改善と適度な運動	睡眠をしっかりとる、食事に気を付ける	2	1226514219
18	２	２	61	X (旧Twitter)@Instagram	該当なし	はい	その他	いいえ	女優	小学生くらい。太っている人を見て見た目が良くないと思ったから。	いいえ	はい	食べ物の量を調整する	食べ過ぎないこと	2	1236484338
21	４	２	19	Instagram	音楽	いいえ	いいえと回答	いいえ	薬剤師	更年期にやり、痩せにくい体質になったこと。	いいえ	はい	適度な運動と多すぎない食事量、十分な睡眠。	椅子の背もたれにもたれない、家事をする時は爪先立ちをする等、良い姿勢を保つ。	2	1237462627
19	１	２	110	X (旧Twitter)@Instagram	音楽	はい	理想のモデルの影響	いいえ	モデル	7年前まで海外に在住しており自分の華奢な体型にコンプレックスを持ったから	いいえ	はい	筋トレをしてプロテインを飲み体を大きくするしかない	無理のない運動と理想と現実を早めに受け入れる事	2	1237721273
23	５	３	0	該当なし	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	俳優	中学生##好きな人がいた	はい	はい	活動的に過ごす##好きなこと（心が潤うこと）をする	ストレッチ	2	1233919963
15	５	６	60	X (旧Twitter)	モデル (人)	はい	身の周りの環境	いいえ	ー	ー	いいえ	いいえ	ー	ー	2	1231376719
30	１	３	8	該当なし	該当なし	はい	身の周りの環境	はい	特になし	特になし	いいえ	いいえ	特になし	食べ過ぎない	2	1233069515
19	３	３	2	X (旧Twitter)@Instagram	動物	はい	その他	いいえ	スイマー	理想の体型ではない。	いいえ	はい	筋トレ	野菜とフルーツを食べる。	2	1230794226
22	４	２	490	X (旧Twitter)	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	細すぎないように見える同世代の俳優	ここ数年、油断から肥えつつあるので、元々細すぎたと言われ続けていた矜持もあり最低限の見た目に戻したい	いいえ	はい	間食を控え、動くことをこころごける	なるべく早く歩く	2	1230458802
22	６	３	15	Instagram	音楽	はい	身の周りの環境	はい	モデル	数年前、太り始めたから	いいえ	はい	薬	ウォーキング	2	1230709276
50以上	４	２	180	X (旧Twitter)@Instagram	音楽	いいえ	いいえと回答	いいえ	冨永愛 モデル	特にない	いいえ	はい	わからない	特にない	2	1229655410
26	３	３	0	該当なし	該当なし	いいえ	健康状態の改善（病気予防・治療）	いいえ	なし	なし	いいえ	いいえ	なし	なし	2	1233320008
18	２	２	180	X (旧Twitter)	該当なし	いいえ	健康状態の改善（病気予防・治療）	いいえ	なし	なし	いいえ	いいえ	運動をする	運動とバランスの良い食事	2	1231641123
18	３	２	31	X (旧Twitter)@Instagram	該当なし	いいえ	いいえと回答	いいえ	女優	小学生くらいから、スタイルのいい人を見て。	いいえ	はい	カロリー消費して太らないこと	できるだけ歩いたりエスカレーターではなく階段を使う	2	1235560786
21	３	２	63	X (旧Twitter)@Instagram	動物	はい	健康状態の改善（病気予防・治療）	いいえ	スポーツ選手	高校生の時　部活動	はい	はい	適度な運動と偏りのない食事を摂ること	定期検診	2	1237827333
32	４	２	26	X (旧Twitter)	動物	いいえ	いいえと回答	いいえ	理想的な体型は、足腰が強く身体を自由に動かせる程度の筋肉が全身にほどよくついている体型考えうる人物や職業のイメージは無い。	30代後半になって、お腹回りに肉がつくようになったり、疲れやすくなったりと、身体ぼ衰えを感じるようになったから。	いいえ	はい	規則正しい生活、栄養バランスのとれた食事、十分な睡眠、適度な運動とストレッチ、ストレスを溜め込まないようにすること。	毎日8,000歩歩くようにしていることと、できる限りエレベーターやエスカレーターではなく階段を使うようにすること。	2	1236248253
37	７	３	300	X (旧Twitter)@Instagram@Tik Tok	モデル (人)	はい	理想のモデルの影響	いいえ	キャバ嬢	28年前に当時の彼氏に捨てられたくなかったから	はい	はい	食べる量を減らす	6時間以上の睡眠	2	1238743405
22	６	３	78	X (旧Twitter)	アニメ、漫画	はい	健康状態の改善（病気予防・治療）	いいえ	バレリーナ	大学生の時に自分と違う体型を意識しだして	いいえ	はい	筋トレ	何もしていません	2	1233195051
