設問1	設問2	設問3	設問4	設問5	設問6	設問7	設問8	設問9	設問10	設問11	設問12	設問13	設問14	設問15	設問16（チェック）	会員ID
26	６	４	10	X (旧Twitter)	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	アスリート	夏前、薄着になるから	いいえ	はい	目標を立ててダイエットする	早寝早起き	2	1225122536
23	６	３	0	該当なし	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	バレーボール選手	10年ぐらい前から　だんだんと太ってきて健康診断が憂鬱になってきたから	はい	はい	運動をして間食を減らす	塩分を控え野菜を多く摂取する	2	1232307005
25	６	４	60	X (旧Twitter)	風景	いいえ	いいえと回答	いいえ	スポーツ選手	選手を見て	いいえ	はい	ジム通い	食事制限	2	1231485671
26	６	５	0	該当なし	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	精力的に活動できるコンサルタント	健康診断で産業医から食生活の指導を受けたこと	はい	はい	適度な運動を継続して行うこと	適度な運動を継続して行うこと	2	1230779757
20	２	４	23	X (旧Twitter)@Facebook	音楽	いいえ	いいえと回答	いいえ	格闘家	20代後半になり体力を落とさないようにしたいと思ったから。	いいえ	はい	筋肉トレーニング	週に二度は運動する。	2	1225160503
22	３	２	0	該当なし	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	俳優	30歳ぐらいの頃、テレビで体を鍛えている俳優を見て	いいえ	はい	食事制限と適度な運動を長期間継続する。	野菜をたくさん食べる。糖質を控えめにする。	2	1229561132
23	６	４	15	X (旧Twitter)@Instagram	モデル (人)	いいえ	いいえと回答	いいえ	サッカー選手	40歳を越え代謝が悪くなり少し太り始めたので。	いいえ	はい	バランスの良い食事と定期的な運動。	お酒とタバコはやらない。	2	1233433989
10未満	３	２	120	X (旧Twitter)@Instagram	アニメ、漫画	いいえ	健康状態の改善（病気予防・治療）	いいえ	ボクサー	筋肉をつけたかった	いいえ	はい	筋トレ	適度な運動	2	1237812948
27	６	４	0	該当なし	該当なし	いいえ	いいえと回答	いいえ	運輸業	２５歳のころ、仕事が原因で不規則な生活になって太り始めたとき、動きながら仕事をしている人の体形が良いことに気づいたから	いいえ	はい	運動としっかり寝ること。	体を冷やさないこと	2	1232944617
10未満	１	１	10	X (旧Twitter)	アニメ、漫画	いいえ	健康状態の改善（病気予防・治療）	いいえ	マッチョ	特になし	いいえ	はい	筋トレ	睡眠	2	1235845396
17	３	３	0	X (旧Twitter)	アニメ、漫画	いいえ	いいえと回答	いいえ	わからない	忘れた	いいえ	いいえ	トレーニング	トレーニング##	2	1236314131
19	５	５	50	X (旧Twitter)@Instagram@Tik Tok	モデル (人)	はい	健康状態の改善（病気予防・治療）	いいえ	ボクサー	見ていて格好がいいから	いいえ	はい	ジムワーク	食べすぎない	2	1231672302
17	１	３	11	該当なし	アニメ、漫画	いいえ	いいえと回答	いいえ	野球選手	特になし	いいえ	いいえ	適度な食事と運動	適度な食事と運動	2	1235042567
27	６	４	10	X (旧Twitter)@Facebook	音楽	はい	健康状態の改善（病気予防・治療）	いいえ	スポーツ選手	観戦が好きなので	いいえ	はい	運動など	ウオーキングと食事	2	1230299552
17	３	４	60	X (旧Twitter)@Instagram	モデル (人)	いいえ	いいえと回答	いいえ	水泳選手	30代のときにオリンピックを見て	いいえ	はい	ウエイトトレーニング	規則正しい食生活	2	1235120964
22	４	３	169	X (旧Twitter)	該当なし	いいえ	いいえと回答	いいえ	芸人	高校時代、部活	はい	はい	運動、睡眠、ストレスを溜めない	バランスの良い食事、適度な運動、睡眠	2	1232113017
30	７	４	13	X (旧Twitter)@Facebook	音楽	いいえ	いいえと回答	いいえ	アスリート	太りすぎ	いいえ	はい	運動	運動	2	1230924539
20	２	３	10	X (旧Twitter)@Instagram	テレビ番組	いいえ	いいえと回答	いいえ	消防士	知人にその職業がいて、筋肉と脂肪のバランスが良かったから	いいえ	はい	運動と正しい食事を心がける	暴飲暴食をせず、睡眠時間はかならず8時間はとること	2	1227981529
21	４	５	300	X (旧Twitter)@Instagram@Facebook@Tik Tok	アニメ、漫画	はい	スポーツ・パフォーマンス向上	いいえ	スポーツ選手	やはりかっこいいことから理想とする体型を目指すきっかけとなった	はい	はい	適度なスポーツをする	適度なスポーツと十分な睡眠をとる	2	1236917343
20	５	３	00	該当なし	該当なし	はい	身の周りの環境	いいえ	警察官	自身が太る様になった時にキビキビ動く姿を見て	いいえ	はい	兎に角運動をする	ウォーキング	2	1237735179
18	１より痩せている	５	586	X (旧Twitter)	アニメ、漫画	はい	健康状態の改善（病気予防・治療）	いいえ	漁師	30代で体調が悪かったころ	はい	はい	歩く	早寝早起き	2	1234144735
10未満	５	２	5	X (旧Twitter)@Instagram@Tik Tok	アニメ、漫画	はい	身の周りの環境	いいえ	俳優	恋愛	いいえ	はい	ダイエット	よく寝る	2	1236244087
20	３	２	35	X (旧Twitter)@Instagram	モデル (人)	はい	健康状態の改善（病気予防・治療）	はい	サッカー選手	サッカーが好きになってから	はい	はい	運動	歩くこと	2	1237728444
23	４	２	1	Facebook	音楽	はい	健康状態の改善（病気予防・治療）	いいえ	dir en grey 京　ミュージシャン	加齢で太り始めてから	いいえ	はい	運動	食事量を気を付ける	2	1232824732
19	２	４	0	該当なし	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	レーサー	鏡の自分を見つめていて	はい	はい	筋トレ	食事の咀嚼を増やす	2	1233738203
18	１	４	60	X (旧Twitter)@Tik Tok	モデル (人)	いいえ	いいえと回答	いいえ	モデル	恋人に体型を指摘されて	いいえ	はい	筋トレ	栄養バランスの良い食事をすること	2	1230148982
22	４	３	40	Instagram	動物	はい	身の周りの環境	いいえ	モデル	モデルを見て自身の体形がきになった	はい	はい	1日の摂取カロリーを制限する	暴飲暴食を控える	2	1235498416
27	６	４	50	X (旧Twitter)	該当なし	いいえ	いいえと回答	いいえ	なす	なす	いいえ	いいえ	なす	なす	2	1234398521
21	３	３	21	該当なし	風景	はい	健康状態の改善（病気予防・治療）	いいえ	役者	体重増加と運動不足から	はい	はい	継続運動	継続して続けられること	2	1235968372
14	１より痩せている	８より太っている	50	X (旧Twitter)	モデル (人)	はい	理想のモデルの影響	はい	痩せる	痩せる	はい	はい	痩せる	痩せる	2	1228336977
26	５	４	60	Instagram	風景	はい	健康状態の改善（病気予防・治療）	いいえ	とくになし	おぼえていない	いいえ	はい	わからない	とくになし	2	1234134196
18	２	３	24	X (旧Twitter)@Instagram	モデル (人)	いいえ	いいえと回答	いいえ	ロードレーサー	自転車の巡行速度が速いので	はい	はい	筋トレと食事	運動	2	1233693883
22	４	３	180	X (旧Twitter)@Instagram@Facebook	動物	はい	身の周りの環境	いいえ	俳優	特になし	はい	はい	散歩	散歩	2	1235267585
10未満	１	３	45	X (旧Twitter)	音楽	いいえ	いいえと回答	いいえ	スポーツ選手	痩せすぎと指摘された時	いいえ	はい	タンパク質を摂取する	規則正しい生活	2	1229541817
21	４	３	5	X (旧Twitter)	アニメ、漫画	はい	健康状態の改善（病気予防・治療）	いいえ	俳優	学生時代##服のサイズが合わなくなったから	はい	はい	間食を減らす##炭酸水を飲んで空腹を紛らす	生のキャベツと豆腐を毎日食べている	2	1238330817
23	３	４	35	X (旧Twitter)	該当なし	はい	スポーツ・パフォーマンス向上	いいえ	バレー	30代##加齢の認識	いいえ	はい	スポーツ	節制	2	1238433895
20	２	４	0	該当なし	該当なし	いいえ	いいえと回答	いいえ	特にない	特にない	いいえ	いいえ	わからない	特にない	2	1235454573
23	５	３	0	X (旧Twitter)	動物	はい	身の周りの環境	いいえ	サッカー選手	若き頃にテレビでみて	いいえ	はい	１日一食が良いと思う	良く寝ること	2	1232006737
18	１より痩せている	３	13	該当なし	モデル (人)	いいえ	いいえと回答	いいえ	武田信治　俳優	筋力がないことから体力に自信がなくなったから	いいえ	はい	筋トレ	ウォーキング	2	1227907829
25	４	３	6	X (旧Twitter)@Instagram	動物	はい	身の周りの環境	いいえ	格闘技(空手・合気道)の師範	１０代の時に格闘技に興味が出たため	いいえ	はい	運動に見合った食事、三食きちんと食べる、ドカ食い、間食、深夜の食事をしない、朝と寝る前に柔軟運動をする。##姿勢を正しく保つ努力をする。	毎日柔軟運動を欠かさず、朝一杯のぬるま湯を飲み胃腸を動かす。姿勢を正しく保つ。	2	1238718499
24	６	４	55	X (旧Twitter)	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	消防	健康診断の結果	いいえ	いいえ	健康増進	野菜ジュースを飲む	2	1232267506
26	６	６	2	X (旧Twitter)@Instagram	該当なし	いいえ	いいえと回答	いいえ	体型に理想を感じたことはない。	体型に興味はない。	いいえ	いいえ	ない。	普通に歩く。	2	1235845035
21	４	２	105	X (旧Twitter)	アニメ、漫画	はい	健康状態の改善（病気予防・治療）	いいえ	肉体労働	常に	いいえ	はい	肉体に負荷を与えて筋肉痛になる	体重計に乗る	2	1226945603
20	２	２	23	X (旧Twitter)	該当なし	いいえ	いいえと回答	いいえ	スポーツインストラクター	大学生の頃、自分の健康を気遣うようになったから。	いいえ	はい	軽度の運動を継続する。	できるだけ体を動かすように心掛ける。	2	1228562635
23	４	３	25	該当なし	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	なし	なし	いいえ	はい	なし	運動	2	1229392699
18	２	２	180	該当なし	該当なし	いいえ	いいえと回答	いいえ	ない	ない	いいえ	いいえ	何も変えないこと、無理をしないこと	ない	2	1226963082
22	４	４	60	Instagram	モデル (人)	いいえ	いいえと回答	いいえ	サッカー選手	思い出せない	いいえ	はい	筋トレ	筋トレ	2	1224934942
21	１	３	16	X (旧Twitter)	動物	はい	身の周りの環境	いいえ	俳優	中学生　太り気味だったから	はい	はい	運動	運動をする	2	1228383577
29	６	４	68	Tik Tok	風景	はい	スポーツ・パフォーマンス向上	いいえ	ボクサー	特にありません。	いいえ	はい	筋トレ	筋トレと有酸素運動	2	1236171145
22	５	２	55	X (旧Twitter)@Instagram	動物	はい	理想のモデルの影響	いいえ	俳優	映画でその俳優の体つきを観て	いいえ	はい	筋トレ	ジョギング	2	1231697239
22	６	６	53	Tik Tok	音楽	はい	健康状態の改善（病気予防・治療）	いいえ	ボクサー	大きな病気にかかって自身の健康状態や体型について省みる必要があったことから。	はい	はい	野菜を中心とした食事を心掛け、適度な運動をするという習慣を続けること。	筋肉を付けて代謝を上げること。	2	1235265204
23	３	４	0	該当なし	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	サッカー	テレビで見てから	いいえ	はい	無理せず適度な運動	納豆やヨーグルトを食べる	2	1230521647
24	６	４	20	X (旧Twitter)	該当なし	いいえ	いいえと回答	いいえ	特にいない	とくにない	いいえ	はい	運動	特にない	2	1228439450
23	５	３	70	X (旧Twitter)	モデル (人)	はい	身の周りの環境	いいえ	細マッチョな俳優です。	理想とする体型を持つようになったのは3ヶ月ぐらい前で、最近1年前より8キロぐらい太ったからです。	いいえ	はい	食事制限と筋トレだと思います。	栄養のバランスには気をつけています。	2	1235491223
28	７	５	21	X (旧Twitter)	モデル (人)	はい	健康状態の改善（病気予防・治療）	いいえ	スポーツ選手	血尿が出てから	いいえ	はい	節制	よく噛む	2	1228382960
28	５	２	15	X (旧Twitter)@Instagram	該当なし	はい	その他	いいえ	ラグビーのウイングの選手	ズボンがきつくなったから。	いいえ	はい	糖質制限	サプリを摂取する	2	1230231770
20	３	２	26	X (旧Twitter)@Instagram@Facebook@Tik Tok	モデル (人)	いいえ	いいえと回答	いいえ	スポーツ選手（水泳）	お風呂上がりの自分の体を鏡の前で見て。	いいえ	はい	日々の食事をしっかり考えること。	ウォーキング	2	1225226317
16	１	１	10	X (旧Twitter)	モデル (人)	いいえ	いいえと回答	いいえ	ミュージシャン	特にそういうのはないです	いいえ	いいえ	食べすぎない	野菜を食べる	2	1231416143
21	３	３	30	X (旧Twitter)	風景	いいえ	いいえと回答	いいえ	スポーツ選手	なし	いいえ	いいえ	ウォーキング	食事管理	2	1236898521
22	５	３	0	該当なし	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	陸上選手	3年ほど前体重がやせていたころより20ｋｇ近く増えていたため	いいえ	いいえ	食事制限	食べ過ぎない	2	1228565511
17	１	２	1	X (旧Twitter)	アニメ、漫画	はい	理想のモデルの影響	いいえ	野球選手	５年前。ウエスト８３センチになったから	いいえ	はい	わからない	高たんぱく低カロリー	2	1234910615
26	７	４	0	該当なし	該当なし	はい	理想のモデルの影響	いいえ	警察官	体が強いイメージあるから	いいえ	はい	効率的に運動すること（例えばランニング）	タバコを全く吸わない	2	1231818122
44	６	４	114	X (旧Twitter)@Instagram@Tik Tok	音楽	はい	身の周りの環境	いいえ	アーティスト	着ていた服がきつく感じた	はい	はい	無理のない程度の運動	続けられるように高すぎる目標にしない	2	1235196147
24	５	４	40	X (旧Twitter)	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	特にありません	特にありません	いいえ	はい	地道な運動	バランスの良い食事を取る	2	1235180051
35	８	６	90	X (旧Twitter)	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	思いつかない	半年くらい前に医者から言われて	いいえ	はい	運動と食事	適度な運動と日光浴	2	1235330128
19	３	３	5	X (旧Twitter)@Instagram@Facebook@Tik Tok	モデル (人)	はい	身の周りの環境	いいえ	とくにいない	時期は憶えていないが、膝のけががきっかけ	いいえ	いいえ	節制	継続	2	1231775271
22	４	２	25	X (旧Twitter)	動物	いいえ	理想のモデルの影響	いいえ	野球選手	かっこいい	いいえ	いいえ	走る	走る	2	1237388068
30	７	４	30	X (旧Twitter)	モデル (人)	はい	スポーツ・パフォーマンス向上	いいえ	モデル	異性の目	はい	はい	ダイエット	ダイエット	2	1232163498
10未満	２	２	3	該当なし	モデル (人)	いいえ	健康状態の改善（病気予防・治療）	いいえ	太らないから良い	子どもの頃	いいえ	いいえ	運動	歯磨き	2	1235307162
22	４	２	20	Instagram	モデル (人)	はい	理想のモデルの影響	いいえ	サッカー選手	逆三角形になりたい	はい	はい	筋トレとランニング	栄養のある食事を食べる	2	1235339715
23	３	２	60	X (旧Twitter)@Instagram	動物	はい	理想のモデルの影響	いいえ	特にいない	五年前の夏に腹が出ているのが気になった。	いいえ	はい	筋トレ	筋トレ	2	1233091591
28	７	５	102	X (旧Twitter)@Instagram	モデル (人)	はい	健康状態の改善（病気予防・治療）	いいえ	体重さえ落ちれば体型は特に考えていなかったので特になしになると思います	20年近く前体重が3桁に限りなく近づいてさすがにまずいと思いダイエットを初めて##ゲーム感覚ではないけど努力すれば痩せていく様が目に見えてくるので頑張れました	はい	はい	自分のペースでよいからジョギングをしてれば実現に近づけました##今は膝の痛みなどから現状維持を目的としたウォーキングにしてます	できる限り毎日1万歩を目安に歩くようにしてます	2	1234317343
18	２	３	20	X (旧Twitter)	テレビ番組	いいえ	いいえと回答	いいえ	お笑い芸人	5年くらい前お笑い番組で上半身裸になってるのを見て	いいえ	はい	筋トレ	あまり座りすぎないように機会があれば立つようにしている	2	1237771326
10未満	１	１	36	X (旧Twitter)@Instagram	モデル (人)	はい	スポーツ・パフォーマンス向上	いいえ	トレーナー	日常的な習慣	はい	いいえ	生活に無理なく取り入れられる方法	スポーツをする	2	1232435158
19	２	４	180	X (旧Twitter)	アニメ、漫画	いいえ	いいえと回答	いいえ	丹波哲郎　####職業 俳優	刑事ドラマで トレンチコートを着た丹波哲郎の姿に痺れた	いいえ	はい	自己暗示と節制した食事。	在宅時は眠くなった時に我慢せず寝る。	2	1225207897
21	４	３	60	Tik Tok	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	野球	スポーツをやってた	いいえ	はい	運動	運動する	2	1228971698
21	２	２	0	該当なし	該当なし	いいえ	いいえと回答	いいえ	特になし	特になし	いいえ	いいえ	特になし	特になし	2	1233273865
