設問1	設問2	設問3	設問4	設問5	設問6	設問7	設問8	設問9	設問10	設問11	設問12	設問13	設問14	設問15	設問16（チェック）	会員ID
19	３	１	300	X (旧Twitter)@Instagram@Tik Tok	音楽	いいえ	いいえと回答	いいえ	YouTuber	妊娠	いいえ	はい	バランスの採れた食事	水分補給をこまめにする。	2	1237953990
20	２	１	299	X (旧Twitter)@Instagram	モデル (人)	いいえ	いいえと回答	いいえ	なし	なし	いいえ	はい	筋肉量を減らす	ビタミンのサプリを飲む	2	1231490842
20	３	１	132	X (旧Twitter)@Tik Tok	モデル (人)	いいえ	いいえと回答	いいえ	痩せすぎていないアイドル、モデル	SNSに触れる機会が増えた2,3年前から	いいえ	はい	運動	運動	2	1238681817
20	３	１より痩せている	30	該当なし	音楽	はい	健康状態の改善（病気予防・治療）	いいえ	ない	ない	いいえ	はい	ない	ない	2	1233400758
19	２	１	180	X (旧Twitter)@Instagram@Tik Tok	モデル (人)	はい	健康状態の改善（病気予防・治療）	いいえ	女優	彼氏ができた事がきっかけで、1年前から意識し始めた	はい	はい	夜食べ過ぎないこと	糖分は夜はあまりとらないようにしている##ジュースは飲まないようにしている	2	1232988554
10未満	６	２	0	X (旧Twitter)@Instagram	音楽	はい	理想のモデルの影響	いいえ	モデル	太っていたから	はい	はい	薬	ないです	2	1231799491
13	２	２	200	Instagram	該当なし	はい	理想のモデルの影響	いいえ	村川緋杏 アイドル	かわいくなりたいから	いいえ	はい	運動	運動	2	1236741336
18	１	１	58	X (旧Twitter)@Instagram	アニメ、漫画	いいえ	いいえと回答	いいえ	YouTuber	詳しくは覚えていないが、大学生時代。##上京がきっかけ。	いいえ	はい	ウォーキングなど。	野菜をちゃんととる。	2	1233327241
44	１	２	や	BeReal.	テレビ番組	はい	健康状態の改善（病気予防・治療）	はい	や	や	はい	はい	な	や	2	1233914274
10未満	１より痩せている	２	70	Instagram@Facebook	音楽	いいえ	いいえと回答	いいえ	####モデル	好きな人に言われたから	いいえ	はい	ジムに通う　食生活の見直し	3食食べる####なるべく運動する	2	1238743555
23	５	５	120	X (旧Twitter)@Instagram@Tik Tok	音楽	はい	身の周りの環境	いいえ	モデル	洋服が似合う体になりたいと思った	いいえ	はい	特になし	特になし	2	1232413739
15	３	２	60	Instagram	モデル (人)	はい	理想のモデルの影響	いいえ	モデル	小学生のとき	いいえ	はい	運動	運動	2	1237525082
18	１	２	194	X (旧Twitter)@Instagram@Tik Tok	モデル (人)	いいえ	いいえと回答	いいえ	芸能人	時期→今年##きっかけ→何もしていないのに体重がどんどん落ちていったこと。体重を増やして健康的にならなければと思った。	いいえ	はい	筋トレ	よく寝ること。食事制限をしないこと。	2	1236742788
20	５	４	1時間9分	X (旧Twitter)	アニメ、漫画	はい	スポーツ・パフォーマンス向上	はい	アスリート	大会にでるため	はい	はい	食事管理と運動	食事のバランスや、糖質や脂質に気を付ける	2	1236687886
20	５	２	50	X (旧Twitter)@Instagram@Facebook	モデル (人)	はい	理想のモデルの影響	いいえ	モデル	鏡に映った自分を見たときにやばかったから	いいえ	はい	ランニング	食生活改善	2	1236632030
13	５	５	30	Instagram	テレビ番組	いいえ	いいえと回答	いいえ	、	、	いいえ	いいえ	、	、	2	1232929533
18	２	２	29	X (旧Twitter)@Instagram	アニメ、漫画	いいえ	いいえと回答	いいえ	飼育員	小学校##友達と比べるようになったため	いいえ	はい	ご飯をしっかり食べる	栄養バランスに気をつける	2	1237123365
23	４	１	180	X (旧Twitter)@Instagram@Tik Tok	該当なし	はい	理想のモデルの影響	いいえ	アイドル	かわいい服を可愛く着たいから	はい	はい	ダイエット	食生活見直す	2	1229643092
17	１	２	298	X (旧Twitter)@Instagram@Tik Tok	音楽	いいえ	いいえと回答	いいえ	女優、YouTuber	大学生の頃と2年前##大学生の頃は痩せすぎで摂食障害を疑われ、2年前は体重が落ちて病気の危機を感じたので、食べることと太ることを意識した	はい	はい	ご飯をしっかり食べる、運動する、ストレスをためない	食べることももちろん、動くことや睡眠もしっかり。健康を常に考える。趣味に没頭する。	2	1237632191
19	３	６	80	X (旧Twitter)@Instagram	動物	いいえ	いいえと回答	いいえ	運送業	痩せやすい体型だから	いいえ	はい	食べる	特になし	2	1238688324
10未満	１より痩せている	２	8	X (旧Twitter)@Instagram@Tik Tok	モデル (人)	いいえ	いいえと回答	いいえ	女優	ずっと	いいえ	はい	食べる	ない	2	1237431236
19	２	１	140	X (旧Twitter)@Instagram	アニメ、漫画	いいえ	いいえと回答	いいえ	モデル	1年前から太り始めたので	いいえ	はい	運動	特に無い	2	1234678473
18	１	２	90	X (旧Twitter)@Instagram@Tik Tok	モデル (人)	いいえ	いいえと回答	いいえ	モデル	高校生の頃##年齢の近いモデルさんを見た時	いいえ	いいえ	よく食べてしっかりうんどうする	朝ごはんをしっかりたべる	2	1233569138
19	１	１	120	X (旧Twitter)@Instagram	テレビ番組	いいえ	いいえと回答	いいえ	アイドル	中学生　顔が好みだったから	いいえ	いいえ	体質が理想の体型とあっているので、特にない	よく食べる、寝る	2	1238672267
21	３	１	180	X (旧Twitter)@Tik Tok	アニメ、漫画	いいえ	いいえと回答	いいえ	韓国アイドル	好きな服を思うように理想の形で着れなかったとき	いいえ	はい	グルテンフリー	よく寝る	2	1237939298
32	７	１	120	Instagram	該当なし	はい	身の周りの環境	いいえ	YouTuber	一昨年の8月頃見ていたYouTuberが可愛かったため	はい	はい	食事制限	体重計に乗る	2	1237490336
40	３	４	30	X (旧Twitter)@Instagram@Tik Tok	モデル (人)	はい	理想のモデルの影響	いいえ	歌手	彼氏ができた二十歳##	いいえ	いいえ	ダイエット	規則正しい食事	2	1236896097
15	２	３	50	X (旧Twitter)@Instagram@Facebook@Tik Tok	風景	いいえ	いいえと回答	はい	モデル	忘れた	いいえ	いいえ	ダイエット	なし	2	1237066615
16	１より痩せている	３	780	X (旧Twitter)@該当なし	動物	いいえ	健康状態の改善（病気予防・治療）	いいえ	しらない	理想ではない	いいえ	はい	ない	ない	2	1230114093
19	３	１	300	X (旧Twitter)@Instagram@Tik Tok	モデル (人)	はい	理想のモデルの影響	いいえ	アイドル	高校生くらい##当時好きだったアイドルとツーショットを撮ったときに体型の違いにショックを受けた	はい	はい	筋肉を動かす	睡眠時間を多くとる	2	1238635360
47	４	２	93	X (旧Twitter)@Instagram@Facebook@Tik Tok	動物	いいえ	いいえと回答	いいえ	なし	特にこれといってない。理想とする体型の人イコールこの職業というのはない	いいえ	はい	運動	特にない	2	1233410928
22	４	２	0	該当なし	該当なし	いいえ	理想のモデルの影響	いいえ	普通に動ける	最近お腹が当たる	いいえ	はい	お腹を動かす	まだ何もしてない	2	1236980066
17	８より太っている	５	1	Facebook	風景	はい	健康状態の改善（病気予防・治療）	いいえ	や	や	いいえ	いいえ	や	な	2	1232975641
20	３	１	165	Tik Tok	モデル (人)	はい	健康状態の改善（病気予防・治療）	いいえ	インフルエンサー	高校生の時。太り始めて気にし始めた	はい	はい	自分に合ったダイエット方法を見つけること。##毎日継続すること。	ストレスをなるべく溜めない	2	1235503467
17	１	２	12	X (旧Twitter)@Instagram	アニメ、漫画	いいえ	いいえと回答	いいえ	モデル	大学生##痩せすぎて夏服があまり似合わない	いいえ	はい	たくさん食べる	なし	2	1233257210
19	３	２	529	X (旧Twitter)@Instagram@Tik Tok	音楽	いいえ	いいえと回答	いいえ	アーティスト	運動もできて見た目が綺麗	いいえ	いいえ	バランスのいい食事	6時間ファスティング	2	1238742801
16	１	１	210	X (旧Twitter)	アニメ、漫画	いいえ	いいえと回答	いいえ	モデル	小学高学年〜中学生くらい。##ファッション誌のモデルに憧れて。	いいえ	はい	ダイエットと筋トレ	1日の摂取カロリー上限を決めて､##それを超えないようにしている	2	1237315572
16	２	３	30	Instagram@Tik Tok	動物	いいえ	理想のモデルの影響	いいえ	分からない	特になし	いいえ	いいえ	分からない	分からない	2	1231612033
15	３	２	230	X (旧Twitter)@Instagram	アニメ、漫画	はい	理想のモデルの影響	いいえ	tfd	esa	はい	はい	4fre	refr4	2	1237836770
17	１	１	100	X (旧Twitter)@Instagram@Tik Tok	モデル (人)	いいえ	健康状態の改善（病気予防・治療）	いいえ	とくにない	とくにない	いいえ	いいえ	分からない	分からない	2	1237717398
18	２	２	640	Instagram@Tik Tok	音楽	はい	理想のモデルの影響	いいえ	なし	なし	はい	はい	なし	なし	2	1237452845
18	３	２	180	X (旧Twitter)@Instagram@Facebook@Tik Tok	動物	はい	理想のモデルの影響	いいえ	女優	思春期##身なりが気になり出した	はい	はい	規則正しい生活	運動	2	1232829233
20	４	２	60	X (旧Twitter)@Instagram@Tik Tok	動物	はい	理想のモデルの影響	いいえ	インフルエンサー##	若かったから	いいえ	はい	運動、食事	我慢しすぎない	2	1238728596
20	４	２	53	Tik Tok	テレビ番組	いいえ	いいえと回答	いいえ	女優	可愛く見えるから	いいえ	はい	ダイエット	特になし	2	1235913278
