設問1	設問2	設問3	設問4	設問5	設問6	設問7	設問8	設問9	設問10	設問11	設問12	設問13	設問14	設問15	設問16（チェック）	会員ID
22	５	４	63	X (旧Twitter)@Instagram@Facebook@Tik Tok	動物	はい	健康状態の改善（病気予防・治療）	いいえ	海外のサッカー選手。動く仕事なので、肉体に無駄がない。	30代に入り、憧れと現実で色々と気になり始めたため。	はい	はい	とにかくウォーキングでも自転車でも、体を動かすことを前提に行動すること。	階段などをなるべく使い、体を動かす。	2	1234422947
20	４	６	まや	X (旧Twitter)	テレビ番組	はい	身の周りの環境	いいえ	もでる	すきになった	いいえ	いいえ	ダイエット	食べない	2	1233700014
10未満	８	４	5	Instagram@Tik Tok	音楽	はい	健康状態の改善（病気予防・治療）	いいえ	ジム職員	健康診断の結果後	はい	はい	ジム通い	ストレスを溜めない	2	1230757608
16	１	２	20	X (旧Twitter)	アニメ、漫画	いいえ	健康状態の改善（病気予防・治療）	いいえ	陸上選手	30代のころ健康について考えた。	いいえ	はい	食事制限	食事制限	2	1235663805
18	２	６	60	X (旧Twitter)	風景	いいえ	いいえと回答	いいえ	スポーツ選手	筋肉がついているから。	いいえ	いいえ	適度な運動をする	栄養バランスのいい食事を摂取する	2	1234268403
20	１	３	0	該当なし	該当なし	いいえ	いいえと回答	いいえ	俳優	映画を見ていてかっこいいと思ったから	はい	はい	筋トレ	適度な運動	2	1236289699
15	１より痩せている	１	5	X (旧Twitter)	該当なし	いいえ	いいえと回答	いいえ	.	.	いいえ	いいえ	.	.	2	1237078326
22	３	４	45	X (旧Twitter)@Instagram@Tik Tok	アニメ、漫画	いいえ	いいえと回答	いいえ	消防士	中学生時代に社会科見学にて	いいえ	いいえ	筋トレ	散歩	2	1233967126
27	６	６	10	該当なし	該当なし	はい	その他	いいえ	いない	存在しない	いいえ	いいえ	何もしないこと	何もしないこと	2	1233440454
27	６	５	90	X (旧Twitter)@Instagram	アニメ、漫画	はい	スポーツ・パフォーマンス向上	いいえ	いない	なんとなく	いいえ	いいえ	運動	運動	2	1224970996
25	４	３	32	X (旧Twitter)	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	特にいない	30中盤から運動不足で体重が増加してお腹が出てきたので	いいえ	はい	運動(現在はエアロバイクを使用中)と適度な食事制限	ゲームをしながらエアロバイクを漕いでいる	2	1237408295
22	５	３	0	Facebook	該当なし	はい	スポーツ・パフォーマンス向上	いいえ	なし	なし	いいえ	いいえ	運動	ランニング	2	1233408303
23	３	２	10	X (旧Twitter)@Instagram@Facebook	アニメ、漫画	はい	健康状態の改善（病気予防・治療）	いいえ	サッカー選手	太り始めた時	いいえ	はい	運動	野菜	2	1234716475
22	４	３	30 	X (旧Twitter)	音楽	いいえ	身の周りの環境	いいえ	今の自分	他所は関係ない	いいえ	いいえ	鏡を見る	運動	2	1231042368
22	４	３	25	X (旧Twitter)	該当なし	いいえ	いいえと回答	いいえ	消防士	5年前大怪我をした	いいえ	いいえ	食生活	暴食しない	2	1230527347
10未満	５	４	60	X (旧Twitter)@Tik Tok	該当なし	いいえ	いいえと回答	いいえ	スポーツ選手	特にない	いいえ	いいえ	食事制限	特にない	2	1229639062
19	１	３	38	X (旧Twitter)@Tik Tok	アニメ、漫画	いいえ	いいえと回答	いいえ	陸上のアスリート選手	オリンピック	いいえ	はい	地道な努力	偏りのある食事をしない	2	1237888646
22	４	３	30	X (旧Twitter)@Instagram	音楽	はい	健康状態の改善（病気予防・治療）	いいえ	ボクサー	病気をしてブヨブヨになって、	はい	はい	食べない、動く	暴飲暴食しない。運動する	2	1237799053
10未満	２	４	45	X (旧Twitter)	アニメ、漫画	いいえ	いいえと回答	いいえ	特に	特に	いいえ	いいえ	特に	特に	2	1237739750
17	３	３	30	X (旧Twitter)@Instagram	動物	いいえ	いいえと回答	いいえ	特になし。	特になし。	いいえ	いいえ	特になし。##	特になし。##	2	1236053805
22	４	５	120	Facebook	アニメ、漫画	はい	健康状態の改善（病気予防・治療）	いいえ	わからない	わからない	いいえ	いいえ	わからない	特にない	2	1232529221
22	３	４	50	Facebook	風景	はい	健康状態の改善（病気予防・治療）	いいえ	わからない	わからない	はい	はい	わからない	わからない	2	1234882993
30	６	５	457	X (旧Twitter)@Instagram@Facebook@Tik Tok	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	スポーツ選手	大学を出て学生時代に比べて太ったと感じたから	いいえ	はい	運動する	なるべく運動する	2	1232763080
24	６	５	27	X (旧Twitter)	動物	はい	健康状態の改善（病気予防・治療）	いいえ	俳優	３年前##人間ドッグから	はい	はい	筋トレ	ウォーキング	2	1234477161
18	１	３	286	X (旧Twitter)@Instagram@Tik Tok	アニメ、漫画	いいえ	いいえと回答	いいえ	スポーツ選手	とくになし	いいえ	いいえ	筋肉トレー二ング	自分の都合を持つ	2	1235890790
21	５	５	1010	X (旧Twitter)	アニメ、漫画	いいえ	いいえと回答	いいえ	加藤浩次	なし	はい	はい	なし	なし	2	1231356407
18	２	３	180	X (旧Twitter)@Instagram@Tik Tok	モデル (人)	はい	理想のモデルの影響	いいえ	サービス	特にありません	はい	はい	特にありません	特にありません	2	1233591624
18	４	５	300	X (旧Twitter)@Instagram@Facebook	アニメ、漫画	いいえ	健康状態の改善（病気予防・治療）	いいえ	モデル	なし	いいえ	はい	食事	睡眠	2	1236766761
26	６	２	121	X (旧Twitter)@Instagram@Facebook@Tik Tok	アニメ、漫画	はい	スポーツ・パフォーマンス向上	いいえ	インフルエンサー	昨年そのインフルエンサーに感化された	いいえ	はい	トレーニング	考えすぎない	2	1234237474
10未満	２	２	？	Facebook	動物	はい	理想のモデルの影響	はい	？	？	はい	はい	？	？	2	1230514738
22	４	２	199	X (旧Twitter)	動物	はい	身の周りの環境	いいえ	サッカー選手	中学の時に体系をバカにされたため	はい	はい	バランスのとれた筋トレ	今のところなし	2	1231255539
21	１	４	60	X (旧Twitter)@Instagram@Tik Tok	音楽	いいえ	いいえと回答	いいえ	なし	とくになし	いいえ	はい	食事量を増やす	運動	2	1236220063
10未満	２	２	？	Facebook	動物	はい	理想のモデルの影響	はい	？	？	はい	はい	？	？	2	1230625509
50以上	２	３	58	X (旧Twitter)@Instagram@Tik Tok	該当なし	いいえ	いいえと回答	いいえ	サッカー選手	一度やめたスポーツをもう一度やる機会があったから	はい	はい	筋トレ	特になし	2	1237272723
19	２	２	21	X (旧Twitter)	該当なし	いいえ	いいえと回答	いいえ	サッカー選手	かっこいいと思ったから	いいえ	はい	トレーニング	運動	2	1234260218
18	４	４	36	X (旧Twitter)@Instagram	風景	いいえ	いいえと回答	いいえ	わからない	忘れた	いいえ	はい	ジム	よく寝る	2	1237570486
26	５	５	200	X (旧Twitter)@Instagram	音楽	はい	健康状態の改善（病気予防・治療）	いいえ	アスリート	太ってきた	はい	はい	運動	運動	2	1236807094
28	４	３	5	該当なし	該当なし	はい	理想のモデルの影響	いいえ	筋トレ系ゲーム実況者	3ヶ月前、証明写真を撮って顔がむくんでいたから鍛えようと思った。	いいえ	はい	規則正しい生活を送る。	適度な運動とよく寝ること。	2	1236160031
22	３	３	60	X (旧Twitter)@Instagram	モデル (人)	いいえ	いいえと回答	いいえ	おらん	ない	いいえ	いいえ	自分で考えろ	ない	2	1233524637
22	６	４	250	X (旧Twitter)@Instagram@Tik Tok	音楽	いいえ	身の周りの環境	いいえ	会社員	去年##運動会	はい	はい	やせる	早く寝る	2	1236430398
20	１	１	120	X (旧Twitter)@Instagram@Tik Tok	アニメ、漫画	いいえ	いいえと回答	いいえ	水泳選手	学生時の部活の先輩を見て	はい	はい	トレーニングと食事のバランス	野菜とたんぱく質をしっかりとる	2	1235143285
32	７	５	30	X (旧Twitter)	アニメ、漫画	はい	スポーツ・パフォーマンス向上	いいえ	ビリー・ヘリントン##ボディビル	ムキムキマッチョマンのトレーニーを見た時	いいえ	はい	筋トレ	よく食べよく動きよく寝る	2	1237404117
28	６	４	15	該当なし	該当なし	はい	スポーツ・パフォーマンス向上	いいえ	特になし	特になし	いいえ	はい	わからない	特になし	2	1238565333
22	６	３	40	X (旧Twitter)	モデル (人)	はい	健康状態の改善（病気予防・治療）	いいえ	サッカー選手	2024/1 結婚式のため	いいえ	はい	食事再現と運動	食べ過ぎない	2	1235970882
24	６	３	703	該当なし	該当なし	いいえ	いいえと回答	いいえ	スポーツ選手	30代になり、おなかが目立ってきたとき。	いいえ	はい	筋トレ。	深夜にドカ食いしない。	2	1237770808
19	３	４	1	X (旧Twitter)@Instagram@Facebook	動物	いいえ	いいえと回答	いいえ	俳優	学生時代	はい	はい	定期的な運動	ウォーキング	2	1231631796
20	３	４	303	該当なし	音楽	いいえ	いいえと回答	いいえ	体育教師やジムのインストラクター	指導を受けるにあたって説得力があるため。	いいえ	はい	音楽を聴きながらトレーニングを行う	食べ過ぎない。##エレベーターより階段を使う。	2	1237901412
18	５	３	50	X (旧Twitter)@Instagram@Tik Tok	動物	はい	健康状態の改善（病気予防・治療）	いいえ	スポーツ選手	昨年	はい	はい	ダイエット	ダイエット	2	1237430377
24	５	４	0	該当なし	該当なし	いいえ	いいえと回答	いいえ	井上尚弥　プロボクサー	お腹がでてきたから	いいえ	はい	運動と食事制限	散歩をできるだけ毎日行っている	2	1233354013
10未満	４	５	97	X (旧Twitter)@Instagram	動物	いいえ	いいえと回答	いいえ	モデル	ない	いいえ	いいえ	スポーツ	睡眠	2	1234359766
20	２	１	10	X (旧Twitter)	該当なし	いいえ	いいえと回答	いいえ	スポーツ選手	特にない	いいえ	いいえ	運動をする	運動をする	2	1234480022
16	１	２	60	該当なし	該当なし	いいえ	いいえと回答	いいえ	スポーツ	なんとなく、憧れて	いいえ	はい	スポーツ	スポーツ　睡眠	2	1237367628
23	３	２	0	該当なし	該当なし	はい	スポーツ・パフォーマンス向上	いいえ	野球選手	テレビでみた	いいえ	はい	トレーニング	食べすぎない	2	1238390347
17	２	３	15	該当なし	該当なし	いいえ	いいえと回答	いいえ	特になし	特になし	いいえ	いいえ	トレーニング	規則正しい生活	2	1234503525
25	７	４	240	X (旧Twitter)	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	お笑い芸人	2021年##外出の機会が減り体重が増えたため	いいえ	はい	筋力トレーニング	外出の機会を増やす。##一駅分は歩く。	2	1229985138
26	５	３	50	X (旧Twitter)	該当なし	いいえ	いいえと回答	いいえ	特になし	特になし	いいえ	いいえ	特になし	特になし	2	1231356008
26	６	４	15	X (旧Twitter)	動物	はい	健康状態の改善（病気予防・治療）	いいえ	会社員	最近太った	いいえ	いいえ	運動	動く	2	1229664504
28	６	５	311	X (旧Twitter)	動物	いいえ	いいえと回答	いいえ	スポーツ選手。	大学で部活を引退した後、走った時に体が重く感じた。	いいえ	はい	運動。ジョギング。	野菜を食べる。	2	1237919073
38	６	５	100	Instagram	風景	はい	スポーツ・パフォーマンス向上	いいえ	野球	アスリート	いいえ	はい	頑張ろう	なさって	2	1230806714
18	５	２	12	X (旧Twitter)@Instagram@Facebook	動物	はい	健康状態の改善（病気予防・治療）	いいえ	藤原基央 歌手、アーティスト	高校生、自身が太っていたから。好きなアーティストの中でかっこいいと思った人が痩せていたから	いいえ	はい	食事制限、ジョギング	適度に定期的に運動する、夜はあまり食べない	2	1237058724
25	５	３	504	該当なし	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	特にいない	健康的になりたいと感じた	はい	はい	アプリで運動習慣を管理する	毎日少しでも運動する	2	1233933216
22	３	２	30	X (旧Twitter)	アニメ、漫画	はい	理想のモデルの影響	はい	なし	なし	はい	はい	なし	なし	2	1237436117
24	１より痩せている	２	86	X (旧Twitter)	アニメ、漫画	いいえ	いいえと回答	いいえ	プロ野球選手	今まさにプロ野球選手が打撃で結果を出すところを見たから。	いいえ	いいえ	特になし	日頃から歩くこと。	2	1233368624
21	２	１より痩せている	90	Instagram@Tik Tok	アニメ、漫画	はい	スポーツ・パフォーマンス向上	いいえ	大迫傑　マラソンランナー	マラソンを早く走りたい	はい	はい	禁酒とトレーニング	トレーニング	2	1235142573
10未満	３	１	30	X (旧Twitter)@Instagram	動物	はい	スポーツ・パフォーマンス向上	いいえ	水泳選手	今は理想体型ではない	いいえ	はい	食事と運動	食事と睡眠に運動　時間	2	1229417556
22	４	４	30	X (旧Twitter)	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	理想と考える人物はいませんので職業はありません	時期は忘れました、BMIが23～24.9の人たちが最も死亡率が低かったことが分かったと報道があり近づけようと思いました	はい	いいえ	無理をしないことと守れる日課を決めること	食品添加物を避ける、食物繊維を積極的にとる	2	1238653238
21	４	３	110	X (旧Twitter)@Instagram	アニメ、漫画	いいえ	スポーツ・パフォーマンス向上	いいえ	クリスティアーノ・ロナウド、プロサッカー選手	10年以上前、サッカーをしていたから	はい	はい	常に見えるところに写真などを置く	なし	2	1233215825
23	２	３	180	X (旧Twitter)	アニメ、漫画	はい	スポーツ・パフォーマンス向上	はい	平出和也####アルパインクライマー	2年前####登山を始めたのがきっかけ	はい	はい	筋トレ	規則正しい生活	2	1232846969
21	６	４	627	X (旧Twitter)	アニメ、漫画	はい	健康状態の改善（病気予防・治療）	いいえ	スポーツせんしゅ	25歳くらい　体重計を買い換えたころ	はい	はい	食べない	食べ過ぎない	2	1226108171
21	４	４	245	該当なし	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	野球選手	やせようと思った	はい	はい	食事制限	食事制限	2	1237649328
25	１より痩せている	１	54	X (旧Twitter)@Instagram@Facebook	テレビ番組	いいえ	身の周りの環境	いいえ	なし	なし	はい	いいえ	なし	なし	2	1234384133
24	５	４	240	X (旧Twitter)@Instagram@Tik Tok	モデル (人)	はい	スポーツ・パフォーマンス向上	いいえ	フィジーク選手	かっこいいから	はい	はい	筋トレ	気合い	2	1238412722
23	４	２	60	該当なし	該当なし	いいえ	いいえと回答	いいえ	野球選手	特になし	いいえ	いいえ	食べない、ストレッチ	よく寝ること	2	1228207300
21	４	４	142	X (旧Twitter)	アニメ、漫画	はい	スポーツ・パフォーマンス向上	いいえ	俳優	がくせいのころから。きっかけはとくにない。	いいえ	はい	不摂生に気をつける。	睡眠時間の確保	2	1237660343
26	５	４	240	X (旧Twitter)@Instagram@Tik Tok	アニメ、漫画	はい	健康状態の改善（病気予防・治療）	いいえ	特に無し	太った	いいえ	はい	ダイエット	特に無し	2	1236026138
27	５	２	5	X (旧Twitter)	風景	はい	スポーツ・パフォーマンス向上	いいえ	ロードレーサー	動きが悪い	いいえ	はい	運動	運動	2	1237768927
13	３	４	120分	X (旧Twitter)@Tik Tok	アニメ、漫画	いいえ	いいえと回答	いいえ	スポーツまん	ない	いいえ	はい	スポーツ	青汁	2	1231537534
25	８より太っている	４	945	Tik Tok	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	平均より筋肉がある人。配達員。	三十代になったとき腰を悪くして	いいえ	はい	運動	ストレスをためない	2	1231457623
40	６	５	30	Facebook	アニメ、漫画	いいえ	いいえと回答	いいえ	大谷翔平　スポーツ選手	ニュースの健康特集を見て。	いいえ	いいえ	運動	運動	2	1232842971
35	７	４	45	X (旧Twitter)	音楽	はい	身の周りの環境	はい	小栗旬	コロナウイルス	いいえ	はい	重トレーニング	重トレーニング	2	1236392936
18	１	３	125	X (旧Twitter)	モデル (人)	いいえ	いいえと回答	いいえ	特にない	特にない	いいえ	はい	筋トレ	特にない	2	1233402546
20	３	４	30	X (旧Twitter)@Instagram	風景	いいえ	スポーツ・パフォーマンス向上	いいえ	スポーツ	中学校くらい##高校生を見て	いいえ	はい	ジムトレーニング	食事	2	1234542181
24	４	２	55	X (旧Twitter)	動物	いいえ	健康状態の改善（病気予防・治療）	いいえ	ロックシンガー	高校3年生の時に、雑誌でスタイルのいい歌手を見てから	いいえ	はい	朝早く起きてウォーキングをする。	サプリメントを摂る。	2	1232299696
23	６	６	48	該当なし	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	スポーツ選手	とくにない	いいえ	はい	スポーツ	ストレスをためない	2	1237545978
20	２	４	10	X (旧Twitter)@Instagram@Tik Tok	該当なし	いいえ	いいえと回答	いいえ	スポーツ選手	社会人になってから##モテたいから	いいえ	はい	食べる##筋トレ	よく歩く	2	1237583651
23	４	３	58	X (旧Twitter)@Instagram	アニメ、漫画	はい	スポーツ・パフォーマンス向上	いいえ	パーソナルトレーナー	2020年頃に格闘技系YouTuberを見て影響を受けた。	はい	はい	筋トレと栄養バランスが良い食事	水を飲むこと。体重計に毎日乗ること。散歩をすること。	2	1237458103
27	６	６	60	該当なし	該当なし	はい	その他	いいえ	無職	学生の時##でかい方がかっこいい	はい	はい	運動と食事	運動と食事	2	1234937687
50以上	６	３	２	X (旧Twitter)@Instagram@Facebook@Tik Tok	動物	はい	いいえと回答	いいえ	特になし	特になし	はい	はい	とにかく歩く、走るただそれだけ	特になし	2	1237324656
26	７	５	1	Instagram	該当なし	はい	健康状態の改善（病気予防・治療）	いいえ	トラック運転手	いつも持ってるが無理	いいえ	はい	走り込む	最近はしてないが走っていた	2	1233401787
20	２	４	27	X (旧Twitter)	モデル (人)	いいえ	いいえと回答	いいえ	特に決まったイメージと職業は無い。	とくに無い	いいえ	いいえ	パーソナルトレーナーを付けてトレーニングする。	とくに無い	2	1233472439
